sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,1.41097,24.7983,11.3141,46,33,1.96902,
4.993,1.41097,26.2877,10.1042,45,29,1.83731,
9.842,1.41097,25.8993,11.2908,46,99,1.88942,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,2.51709,24.2707,11.2269,46,33,2.02189,
5.271,2.51709,25.7955,11.3057,45,29,1.86916,
10.089,2.51709,25.7029,11.2981,46,99,1.91555,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,1.68319,29.1271,10.215,46,33,1.70673,
5.187,1.68319,25.9283,11.5117,45,29,1.85197,
9.855,1.68319,25.9167,11.5421,46,99,1.89071,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,1.91288,24.4412,11.3301,46,33,2.00741,
5.169,1.91288,26.1357,11.3117,45,29,1.84497,
9.89,1.91288,25.7527,10.0215,46,99,1.9193,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,1.47969,25.135,11.4465,46,33,1.94844,
4.968,1.47969,26.0228,10.1416,45,29,1.86504,
9.87,1.47969,26.1362,10.1854,46,99,1.88178,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,2.94734,23.2833,11.3117,46,33,2.10454,
5.278,2.94734,25.8478,11.3369,45,29,1.86601,
9.94,2.94734,25.7546,11.3221,46,99,1.90711,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,1.80434,24.9511,11.3254,46,33,1.96403,
5.063,1.80434,26.1221,11.3078,45,29,1.84379,
9.679,1.80434,25.8382,11.2899,46,99,1.89935,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,3.17224,23.9076,11.3813,46,33,2.04597,
5.167,3.17224,26.2501,10.1111,45,29,1.84639,
10.203,3.17224,25.7953,11.3343,46,99,1.90299,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,3.58352,19.1296,11.0158,46,33,2.55464,
5.89,3.58352,24.35,11.2064,45,29,1.96825,
10.698,3.58352,25.9309,11.2875,46,99,1.89126,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,3.13455,28.5559,11.3882,46,33,1.73466,
4.994,3.13455,25.9591,11.3792,45,29,1.85653,
9.712,3.13455,25.9158,11.368,46,99,1.89578,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,3.21058,28.7722,11.5558,46,33,1.70531,
4.871,3.21058,26.2822,10.3117,45,29,1.83063,
9.799,3.21058,26.1037,10.28,46,99,1.88103,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,3.20853,24.1571,11.3497,46,33,2.02836,
5.207,3.20853,26.1636,11.3643,45,29,1.84549,
9.965,3.20853,25.8018,11.3127,46,99,1.90808,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,1.91541,24.7308,11.3534,46,33,1.9819,
5.098,1.91541,25.7739,11.3507,45,29,1.87083,
9.782,1.91541,25.8757,11.2873,46,99,1.90282,
20.754,1.91541,25.7924,9.99742,45,154,1.87808,
38.564,1.91541,25.9816,11.1435,65,111,2.62432,
51.535,1.91541,21.3945,11.0182,42,28,2.08868,
56.468,1.91541,21.368,10.8635,52,231,2.55967,
80.811,1.91541,21.6617,11.0225,47,138,2.29553,
96.081,1.91541,21.6227,10.929,53,168,2.57614,
114.476,1.91541,21.4845,10.0353,61,50,2.97638,
122.759,1.91541,21.6932,11.0172,60,104,2.89382,
135.524,1.91541,21.4491,11.0188,51,115,2.50419,
148.895,1.91541,21.683,11.073,46,113,2.24433,
161.76,1.91541,21.8555,10.051,62,99,2.97073,
175.03,1.91541,21.6021,10.406,65,499,3.13955,
227.107,1.91541,19.205,10.8528,44,48,2.42079,
234.375,1.91541,19.2955,10.0523,47,107,2.57166,
248.096,1.91541,19.6849,10.8432,55,42,2.91991,
255.282,1.91541,19.1493,10.3757,48,551,2.63779,
312.122,1.91541,19.5521,10.8668,47,78,2.53102,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,1.72504,24.931,11.3191,46,33,1.95867,
5.037,1.72504,25.9932,11.2803,45,29,1.84783,
9.651,1.72504,26.2556,9.9004,46,99,1.87934,
21.868,1.72504,19.2877,10.5623,45,154,2.46026,
39.404,1.72504,19.63,10.3761,65,111,3.43933,
53.989,1.72504,19.4177,10.8147,42,28,2.29182,
59.191,1.72504,21.5255,10.6906,52,231,2.53907,
83.844,1.72504,19.4792,10.5677,47,138,2.54183,
99.914,1.72504,19.6097,10.536,53,168,2.83065,
119.201,1.72504,19.4241,9.81019,61,50,3.27653,
127.94,1.72504,19.5086,10.5918,60,104,3.20513,
141.42,1.72504,19.331,10.6112,51,115,2.76649,
155.454,1.72504,19.2674,10.6107,46,113,2.51428,
169.061,1.72504,19.4345,9.82449,62,99,3.32629,
182.908,1.72504,19.6171,10.1747,65,499,3.44274,
236.385,1.72504,19.1422,10.6759,44,48,2.42665,
243.652,1.72504,19.5717,10.6267,47,107,2.52952,
256.702,1.72504,19.5649,10.5751,55,42,2.94033,
263.977,1.72504,19.3857,10.1657,48,551,2.60377,
321.819,1.72504,19.3473,10.6431,47,78,2.56015,
sys_time,load_time,prefill_speed,decode_speed,prefill_token,decode_token,ttft,
0,2.24957,24.6846,11.3308,46,33,1.97861,
5.3,2.24957,25.9476,11.3379,45,29,1.84894,
10.24,2.24957,26.1177,11.2988,46,99,1.87552,
21.472,2.24957,26.0248,11.2165,45,154,1.84471,
37.701,2.24957,21.8692,10.8471,65,111,3.09093,
51.741,2.24957,19.4723,10.8459,42,28,2.28004,
57.243,2.24957,19.1966,10.638,52,231,2.8325,
82.691,2.24957,19.583,10.7748,47,138,2.523,
98.791,2.24957,19.6319,9.80569,53,168,2.8194,
119.588,2.24957,15.0521,9.60547,61,50,4.19249,
129.725,2.24957,15.0954,9.5871,60,104,4.1108,
145.503,2.24957,14.9463,9.59478,51,115,3.55057,
161.877,2.24957,14.9698,9.59993,46,113,3.2079,
177.693,2.24957,15.0659,9.54411,62,99,4.25128,
193.121,2.24957,15.1449,9.17917,65,499,4.43168,
253.338,2.24957,14.8741,9.64537,44,48,3.09598,
262.16,2.24957,14.9132,9.60795,47,107,3.28768,
277.392,2.24957,15.1337,9.61083,55,42,3.7692,
286.261,2.24957,14.9043,8.77498,48,551,3.35765,
353.983,2.24957,14.9329,9.6362,47,78,3.28274,
